"Manage Tooltips","Manage Tooltips"
Image,Image
"Choose a color","Choose a color"
"Upload a file","Upload a file"
Clear,Clear
"Additional Payment Information","Additional Payment Information"
"Additional Shipping Information","Additional Shipping Information"
"Additional Order Information","Additional Order Information"
"Additional Information","Additional Information"
"Mageplaza Order Attributes","Mageplaza Order Attributes"
Create,Create
Edit,Edit
"Order Attributes","Order Attributes"
Configuration,Configuration
"General Configuration","General Configuration"
Enable,Enable
"Select <b>Yes</b> to enable this module.","Select <b>Yes</b> to enable this module."
"Create New Attribute","Create New Attribute"
"All Store Views","All Store Views"
Type,Type
Required,Required
"Customer Groups","Customer Groups"
"Created At","Created At"
"Updated At","Updated At"
